2,0
2,1
3,0
3,2
4,3
4,2
5,1
5,2
6,2
6,5
7,2
7,0
8,3
8,5
9,3
9,2
10,2
10,3
11,1
11,6
12,0
12,9
13,12
13,4
14,7
14,3
15,9
15,3
16,0
16,10
17,13
17,10
18,6
18,15
19,10
19,18
20,5
20,3
21,2
21,18
22,18
22,12
23,2
23,9
24,3
24,2
25,12
25,10
26,25
26,3
27,10
27,15
28,2
28,25
29,22
29,12
30,14
30,11
31,1
31,6
32,31
32,5
33,25
33,9
34,31
34,23
35,3
35,8
36,25
36,16
37,4
37,28
38,25
38,37
39,6
39,3
40,10
40,24
41,26
41,3
42,8
42,2
43,33
43,18
44,22
44,25
45,12
45,41
46,41
46,3
47,6
47,3
48,25
48,26
49,8
49,1
50,3
50,18
51,8
51,16
52,41
52,6
53,2
53,3
54,48
54,11
55,3
55,8
56,44
56,31
57,21
57,54
58,10
58,9
59,10
59,38
60,41
60,3
61,8
61,36
62,10
62,41
63,30
63,10
64,33
64,39
65,35
65,3
66,10
66,24
67,23
67,50
68,10
68,25
69,34
69,9
70,42
70,9
71,18
71,25
72,6
72,26
73,10
73,21
74,58
74,64
75,35
75,36
76,34
76,2
77,8
77,2
78,42
78,3
79,49
79,12
80,15
80,52
81,10
81,18
82,15
82,9
83,3
83,5
84,11
84,79
85,9
85,21
86,31
86,75
87,2
87,61
88,2
88,58
89,44
89,21
90,9
90,86
91,4
91,10
92,30
92,46
93,66
93,14
94,9
94,15
95,3
95,72
96,10
96,1
97,6
97,49
98,77
98,13
99,10
99,73
